TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;R201;25;1;0.1;2.33;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;645.8;645.8;0;0
F;R202;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;521.6;508;13.6;0.0261
F;R203;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;564.9;519.9;45;0.0797
F;R204;25;1;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;514.5;439.3;75.2;0.1462
F;R205;25;1;0.1;29.33;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;562.9;562.9;0;0
F;R206;25;1;0.1;2618.1;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;528;528;0;0
F;R207;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;538.1;465.6;72.5;0.1347
F;R208;25;1;0.1;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;428.8;409.7;19.1;0.0445
F;R209;25;1;0.1;41.74;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;503.8;503.8;0;0
F;R210;25;1;0.1;295.43;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;547.2;547.2;0;0
F;R211;25;1;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;479.6;412.4;67.2;0.1401
F;RC101;25;1;0.1;1.38;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;604;604;0;0
F;RC102;25;1;0.1;386.16;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;572.5;572.5;0;0
